FID,Shape,FILENAME,Tile number(fish_lab),xmid,ymid,xmin,xmax,ymin,ymax,trunc_id,trunc_area,perc_trunc,trunc_perc,Height(zrange),BEV Tree Size(orig_area),Truncation,Tile Type,perc_over,indi,Vol
0,Polygon,4862.shp,58,620273.7802,4847126.79,620272.0503,620275.51,4847124.841,4847128.74,1,13.48937,0.978022,0.021978,3.658006592,13.792499,False,#N/A,0,4862.shp58,50.45305226
1,Polygon,4865.shp,58,620260.1805,4847132.946,620256.5115,620263.8494,4847130.181,4847135.71,2,40.569048,0.627861,0.372139,14.30300354,64.614736,True,#N/A,0.866829,4865.shp58,924.1847977
2,Polygon,4868.shp,58,620259.4,4847129.597,620254.0512,620264.7488,4847124.241,4847134.954,3,114.59804,0.999996,4E-06,17.5349939,114.598465,False,#N/A,0.496721,4868.shp58,2009.483384
3,Polygon,4872.shp,58,620268.7922,4847132.954,620263.655,620273.9293,4847130.198,4847135.71,4,56.637079,0.559603,0.440397,16.43400024,101.209321,True,#N/A,0.404804,4872.shp58,1663.274006
4,Polygon,4876.shp,58,620265.85,4847129.117,620261.451,620270.249,4847124.841,4847133.393,5,75.244015,1.000007,0,17.11100708,75.243519,False,#N/A,0.608442,4876.shp58,1287.492386
5,Polygon,4859.shp,59,620282.3071,4847129.773,620280.7503,620283.8639,4847128.1,4847131.447,6,10.422153,1.000011,0,3.003994751,10.422037,False,#N/A,0,4859.shp59,31.30774444
6,Polygon,4865.shp,98,620260.1805,4847137.348,620256.5115,620263.8494,4847135.71,4847138.987,7,24.045565,0.372137,0.627863,14.30300354,64.614736,True,#N/A,0.026493,4865.shp98,924.1847977
7,Polygon,4872.shp,98,620268.7922,4847137.879,620263.655,620273.9293,4847135.71,4847140.048,8,44.572996,0.440404,0.559596,16.43400024,101.209321,True,#N/A,0.014292,4872.shp98,1663.274006
8,Polygon,4907.shp,98,620243.5531,4847192.066,620240.6125,620246.4937,4847189.294,4847194.837,9,32.598315,0.999989,1.1E-05,5.673994141,32.59867,False,#N/A,0,4907.shp98,184.9646626
9,Polygon,4911.shp,98,620255.3797,4847193.903,620251.91,620258.8494,4847192.096,4847195.71,10,25.076216,0.492502,0.507498,6.764002075,50.915936,True,#N/A,0.009739,4911.shp98,344.3954968
10,Polygon,4915.shp,98,620260.5497,4847195.404,620258.4505,620262.6488,4847195.098,4847195.71,11,2.570199,0.162412,0.837588,5.544003296,15.825221,True,#N/A,0.095015,4915.shp98,87.73507738
11,Polygon,27.shp,99,620321.32,4847159.204,620317.8506,620324.7893,4847155.131,4847163.277,12,56.526813,0.999993,7E-06,7.04399353,56.527198,False,#N/A,0.407537,27.shp99,398.177217
12,Polygon,31.shp,99,620317.0256,4847161.513,620312.5065,620321.5447,4847157.041,4847165.984,13,80.832238,0.999999,1E-06,8.854002075,80.832286,False,#N/A,0.284995,31.shp99,715.689228
13,Polygon,35.shp,99,620321.9753,4847175.232,620316.9608,620326.9898,4847169.707,4847180.758,14,110.82747,0.999989,1.1E-05,9.70399292,110.828739,False,#N/A,0,35.shp99,1075.481299
14,Polygon,38.shp,99,620317.793,4847188.545,620313.3368,620322.2492,4847183.605,4847193.485,15,88.050947,1.000019,0,6.18399353,88.049315,False,#N/A,0,38.shp99,544.4963943
15,Polygon,4879.shp,99,620286.9,4847151.19,620285.2505,620288.5495,4847149.84,4847152.54,16,8.90598,0.999981,1.9E-05,6.632005615,8.906154,False,#N/A,0.492371,4879.shp99,59.06566334
16,Polygon,4883.shp,99,620290.5732,4847152.163,620287.251,620293.8953,4847149.74,4847154.585,17,32.190305,0.999988,1.2E-05,6.584005737,32.190693,False,#N/A,0.382237,4883.shp99,211.9437074
17,Polygon,4887.shp,99,620290.2228,4847149.522,620287.56,620292.8856,4847147.305,4847151.74,18,23.619569,0.999991,9E-06,6.364005737,23.619789,False,#N/A,0.67081,4887.shp99,150.3164727
18,Polygon,4891.shp,99,620286.81,4847148.441,620283.9265,620289.6935,4847146.602,4847150.28,19,21.211026,0.999996,4E-06,6.003999023,21.211114,False,#N/A,0.34861,4891.shp99,127.3515077
19,Polygon,1.shp,100,620372.9013,4847194.352,620369.8099,620375.9927,4847192.994,4847195.71,20,16.790012,0.477287,0.522713,4.553994751,35.17802,True,#N/A,0,1.shp100,160.2005184
20,Polygon,20.shp,100,620358.2009,4847189.328,620355.7087,620360.693,4847186.797,4847191.859,21,25.229031,1.000006,0,6.814001465,25.228872,False,#N/A,0,20.shp100,171.9095708
21,Polygon,24.shp,100,620358.1767,4847167.462,620354.2025,620362.1509,4847162.441,4847172.482,22,79.808295,0.999997,3E-06,13.15400696,79.808536,False,#N/A,0,24.shp100,1049.802038
22,Polygon,5632.shp,100,620391.871,4847186.219,620388.2319,620395.51,4847180.898,4847191.539,23,77.448446,0.503386,0.496614,13.57399597,153.854897,True,#N/A,0.96648,5632.shp100,2088.425752
23,Polygon,5635.shp,100,620390.577,4847186.04,620385.6439,620395.51,4847180.898,4847191.183,24,101.468633,0.844619,0.155381,13.21400024,120.135355,True,#N/A,0.73769,5635.shp100,1587.46861
24,Polygon,5639.shp,100,620388.2096,4847194.091,620383.551,620392.8682,4847192.472,4847195.71,25,30.17282,0.340998,0.659002,9.635999146,88.483805,True,#N/A,0,5639.shp100,852.6298694
25,Polygon,9.shp,100,620369.6977,4847188.956,620366.109,620373.2864,4847185.43,4847192.482,26,50.615025,0.999994,6E-06,5.854001465,50.615321,False,#N/A,0,9.shp100,296.3021633
26,Polygon,5628.shp,101,620401.45,4847188.6,620399.3504,620403.5496,4847186.26,4847190.939,27,19.650576,0.999993,7E-06,10.4439978,19.65071,False,Test,0.972787,5628.shp101,205.2319721
27,Polygon,5601.shp,101,620426.8504,4847193.862,620422.868,620430.8328,4847192.014,4847195.71,28,29.441883,0.365817,0.634183,12.74399658,80.482444,True,Test,0.319519,5601.shp101,1025.667991
28,Polygon,5604.shp,101,620420.1606,4847194.354,620413.9832,620426.3379,4847192.999,4847195.71,29,33.494827,0.210419,0.789581,13.4630072,159.181676,True,Test,0.98225,5604.shp101,2143.06405
29,Polygon,5607.shp,101,620417.2792,4847192.403,620411.9096,620422.6487,4847189.097,4847195.71,30,71.023038,0.670439,0.329561,12.69400024,105.935134,True,Test,0.330781,5607.shp101,1344.740617
30,Polygon,5617.shp,101,620407.2986,4847195.175,620403.4483,620411.1488,4847194.64,4847195.71,31,8.237995,0.20022,0.79978,6.86399353,41.144707,True,Test,0.365012,5617.shp101,282.4170026
31,Polygon,5621.shp,101,620402.104,4847195.253,620397.468,620406.74,4847194.797,4847195.71,32,8.469972,0.105548,0.894452,8.403994751,80.247537,True,Test,0.355015,5621.shp101,674.3998797
32,Polygon,5625.shp,101,620405.22,4847190.061,620401.7472,620408.6927,4847186.882,4847193.239,33,44.156016,0.999993,7E-06,13.19700195,44.156305,False,Test,0.178434,5625.shp101,582.7308433
